ASL,,,,,,,,,,,,,
경기번호,구분,선수명,종족,승/패,MAP,승/패,종족,선수명,,,,,
122,,임진묵,T,승,오버워치,패,Z,임홍규,,,,,
123,,이영호,T,승,투혼,패,T,박성균,,,,,
124,,윤찬희,T,패,서킷브레이커,승,P,도재욱,,,,,
125,,김재훈,P,패,서킷브레이커,승,T,조기석,,,,,
126,,김재훈,P,승,오버워치,패,T,임진묵,,,,,
127,,조기석,T,패,투혼,승,T,임진묵,,,,,
128,,김재훈,P,승,오버워치,패,T,조기석,,,,,
129,,김재훈,P,승,투혼,패,T,임진묵,,,,,
130,,조기석,T,승,서킷브레이커,패,T,임진묵,,,,,
131,"ASL Season 1
8강",최호선,T,패,서킷브레이커,승,T,조기석,,,,,
132,,최호선,T,승,신 태백산맥,패,T,조기석,,,,,
133,,최호선,T,패,투혼,승,T,조기석,,,,,
134,,최호선,T,패,오버워치,승,T,조기석,,,,,
135,,염보성,T,승,투혼,패,Z,조일장,,,,,
136,,염보성,T,패,신 태백산맥,승,Z,조일장,,,,,
137,,염보성,T,승,오버워치,패,Z,조일장,,,,,
138,,염보성,T,패,서킷브레이커,승,Z,조일장,,,,,
139,,염보성,T,승,투혼,패,Z,조일장,,,,,
140,,김재훈,P,패,서킷브레이커,승,P,김윤중,,,,,
141,,김재훈,P,승,신 태백산맥,패,P,김윤중,,,,,
142,,김재훈,P,패,투혼,승,P,김윤중,,,,,
143,,김재훈,P,패,오버워치,승,P,김윤중,,,,,
144,,김성현,T,승,투혼,패,T,이영호,,,,,
145,,김성현,T,승,서킷브레이커,패,T,이영호,,,,,
146,,김성현,T,승,오버워치,패,T,이영호,,,,,
147,"ASL Season 1
4강",조기석,T,승,투혼,패,T,염보성,,,,,
148,,조기석,T,승,신 태백산맥,패,T,염보성,,,,,
149,,조기석,T,패,오버워치,승,T,염보성,,,,,
150,,조기석,T,패,서킷브레이커,승,T,염보성,,,,,
151,,조기석,T,승,투혼,패,T,염보성,,,,,
152,,김윤중,P,패,오버워치,승,T,김성현,,,,,
153,,김윤중,P,승,신 태백산맥,패,T,김성현,,,,,
154,,김윤중,P,승,서킷브레이커,패,T,김성현,,,,,
155,,김윤중,P,승,투혼,패,T,김성현,,,,,
156,"ASL Season 1
결승",조기석,T,패,서킷브레이커,승,P,김윤중,,,,,
157,,조기석,T,패,오버워치,승,P,김윤중,,,,,
158,,조기석,T,패,투혼,승,P,김윤중,,,,,
159,"ASL Season 2
24강",김택용,P,승,벤젠,패,Z,임홍규,,,,,
160,,김태영,T,승,벤젠,패,P,김승현,,,,,
161,,김태영,T,패,서킷브레이커,승,P,김택용,,,,,
162,,임홍규,Z,패,서킷브레이커,승,P,김승현,,,,,
163,,김태영,T,패,태풍의눈,승,P,김승현,,,,,
164,,김정우,Z,승,벤젠,패,T,이재호,,,,,
165,,정윤종,P,승,벤젠,패,Z,김범성,,,,,
166,,정윤종,P,승,서킷브레이커,패,Z,김정우,,,,,
167,,이재호,T,승,서킷브레이커,패,Z,김범성,,,,,
168,,김정우,Z,패,태풍의눈,승,T,이재호,,,,,
169,,송병구,P,승,벤젠,패,T,유영진,,,,,
170,,윤용태,P,승,벤젠,패,Z,한두열,,,,,
171,,윤용태,P,패,서킷브레이커,승,P,송병구,,,,,
172,,유영진,T,승,서킷브레이커,패,Z,한두열,,,,,
173,,윤용태,P,패,태풍의눈,승,T,유영진,,,,,
174,,이영호,T,승,벤젠,패,Z,이예준,,,,,
175,,진영화,P,패,벤젠,승,Z,김민철,,,,,
176,,이영호,T,승,서킷브레이커,패,Z,김민철,,,,,
177,,이예준,Z,패,서킷브레이커,승,P,진영화,,,,,
178,,진영화,P,승,태풍의눈,패,Z,김민철,,,,,
179,,이제동,Z,승,벤젠,패,T,윤찬희,,,,,
180,,도재욱,P,승,벤젠,패,P,김규회,,,,,
181,,도재욱,P,승,서킷브레이커,패,Z,이제동,,,,,
182,,윤찬희,T,승,서킷브레이커,패,P,김규회,,,,,
183,,이제동,Z,승,태풍의눈,패,T,윤찬희,,,,,
184,,조일장,Z,승,벤젠,패,T,박성균,,,,,
185,,변형태,T,승,벤젠,패,P,최영현,,,,,
186,,변형태,T,패,서킷브레이커,승,Z,조일장,,,,,
187,,박성균,T,승,서킷브레이커,패,P,최영현,,,,,
188,,변형태,T,패,태풍의눈,승,T,박성균,,,,,
189,"ASL Season 2
16강",김윤중,P,패,데미안 2,승,P,김승현,,,,,
190,,이재호,T,패,데미안 2,승,P,송병구,,,,,
191,,김승현,P,패,벤젠,승,P,송병구,,,,,
