"Winner","Race","Loser","Race","Map","Date","Prize","Double Chance","","","","","","","","","","","","","","","","","","",""
"유영진","T","도재욱","P","Pole Star","2025-08-04","￦100,000","","","","","","","","","","","","","","","","","","","",""
"유영진","T","도재욱","P","Metropolis","2025-08-04","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"도재욱","P","유영진","T","Litmus","2025-08-04","￦100,000","","","","","","","","","","","","","","","","","","","",""
"유영진","T","도재욱","P","Radeon","2025-08-04","￦100,000","","","","","","","","","","","","","","","","","","","",""
"유영진","T","도재욱","P","Dominator","2025-08-04","￦100,000","","","","","","","","","","","","","","","","","","","",""
"도재욱","P","유영진","T","Metropolis","2025-08-04","￦100,000","","","","","","","","","","","","","","","","","","","",""
"유영진","T","도재욱","P","Pole Star","2025-08-04","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"도재욱","P","유영진","T","Litmus","2025-08-04","￦100,000","","","","","","","","","","","","","","","","","","","",""
"도재욱","P","유영진","T","Radeon","2025-08-04","￦100,000","","","","","","","","","","","","","","","","","","","",""
"유영진","T","박상현","Z","KnockOut","2025-08-14","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","유영진","T","Radeon","2025-08-14","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","유영진","T","Pole Star","2025-08-14","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","유영진","T","Dominator","2025-08-14","￦100,000","","","","","","","","","","","","","","","","","","","",""
"유영진","T","박상현","Z","Metropolis","2025-08-14","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","유영진","T","KnockOut","2025-08-14","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","유영진","T","Pole Star","2025-08-14","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"유영진","T","박상현","Z","Dominator","2025-08-14","￦100,000","","","","","","","","","","","","","","","","","","","",""
"유영진","T","박상현","Z","Radeon","2025-08-14","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"장윤철","P","박상현","Z","Metropolis","2025-08-21","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","장윤철","P","Radeon","2025-08-21","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","박상현","Z","Litmus","2025-08-21","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","박상현","Z","Dominator","2025-08-21","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","장윤철","P","KnockOut","2025-08-21","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"박상현","Z","장윤철","P","Dominator","2025-08-21","￦100,000","","","","","","","","","","","","","","","","","","","",""
"장윤철","P","박상현","Z","Litmus","2025-08-21","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","장윤철","P","Radeon","2025-08-21","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","장윤철","P","Metropolis","2025-08-21","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"조기석","T","박상현","Z","Pole Star","2025-08-29","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","조기석","T","Radeon","2025-08-29","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","조기석","T","KnockOut","2025-08-29","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","조기석","T","Dominator","2025-08-29","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"조기석","T","박상현","Z","Litmus","2025-08-29","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","조기석","T","Dominator","2025-08-29","￦100,000","","","","","","","","","","","","","","","","","","","",""
"조기석","T","박상현","Z","Pole Star","2025-08-29","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"박상현","Z","조기석","T","Radeon","2025-08-29","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","조기석","T","KnockOut","2025-08-29","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","정영재","T","Radeon","2025-09-03","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","정영재","T","Pole Star","2025-09-03","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","정영재","T","Dominator","2025-09-03","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","정영재","T","KnockOut","2025-09-03","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","정영재","T","Metropolis","2025-09-03","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"박상현","Z","정영재","T","Pole Star","2025-09-03","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"정영재","T","박상현","Z","Dominator","2025-09-03","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","정영재","T","KnockOut","2025-09-03","￦100,000","","","","","","","","","","","","","","","","","","","",""
"정영재","T","박상현","Z","Radeon","2025-09-03","￦100,000","","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","변현제","P","Litmus","2025-09-05","￦100,000","","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","변현제","P","Metropolis","2025-09-05","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","임홍규","Z","Dominator","2025-09-05","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","변현제","P","Radeon","2025-09-05","￦100,000","","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","변현제","P","KnockOut","2025-09-05","￦100,000","","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","변현제","P","Metropolis","2025-09-05","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","변현제","P","Dominator","2025-09-05","￦100,000","","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","변현제","P","Radeon","2025-09-05","￦100,000","","","","","","","","","","","","","","","","","","","",""
"임홍규","Z","변현제","P","Litmus","2025-09-05","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","김지성","T","Pole Star","2025-09-17","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","김지성","T","KnockOut","2025-09-17","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","김지성","T","Metropolis","2025-09-17","￦100,000","","","","","","","","","","","","","","","","","","","",""
"박상현","Z","김지성","T","Dominator","2025-09-17","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김지성","T","박상현","Z","Litmus","2025-09-17","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김지성","T","박상현","Z","Pole Star","2025-09-17","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"김지성","T","박상현","Z","Dominator","2025-09-17","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김지성","T","박상현","Z","Metropolis","2025-09-17","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"김지성","T","박상현","Z","KnockOut","2025-09-17","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김명운","Z","김지성","T","Radeon","2025-09-24","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김명운","Z","김지성","T","Roaring Currents","2025-09-24","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김지성","T","김명운","Z","KnockOut","2025-09-24","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김지성","T","김명운","Z","Metropolis","2025-09-24","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김지성","T","김명운","Z","Dominator","2025-09-24","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김지성","T","김명운","Z","Metropolis","2025-09-24","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"김지성","T","김명운","Z","Radeon","2025-09-24","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김명운","Z","김지성","T","Dominator","2025-09-24","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"김지성","T","김명운","Z","KnockOut","2025-09-24","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김지성","T","김정우","Z","Radeon","2025-10-01","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김정우","Z","김지성","T","Metropolis","2025-10-01","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"김지성","T","김정우","Z","Pole Star","2025-10-01","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김정우","Z","김지성","T","KnockOut","2025-10-01","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김지성","T","김정우","Z","Dominator","2025-10-01","￦100,000","","","","","","","","","","","","","","","","","","","",""
